month,year,gross_turnover_inr,tax_paid_inr,filing_status,filing_delay_days,itc_claimed_inr,business_id
07,2024,3101044.99,558188.1,Filed,0,182338.57,MSME_086391780
08,2024,2721897.81,489941.61,Filed,0,182735.69,MSME_086391780
09,2024,2704751.08,486855.19,Filed,0,192391.69,MSME_086391780
10,2024,2743586.78,493845.62,Filed,0,126691.32,MSME_086391780
11,2024,2772000.76,498960.14,Filed,0,52803.26,MSME_086391780
12,2024,2863464.94,515423.69,Filed,0,122599.41,MSME_086391780
01,2025,2959716.91,532749.04,Filed,0,95544.18,MSME_086391780
02,2025,2705119.11,486921.44,Filed,0,91725.87,MSME_086391780
03,2025,3202510.44,576451.88,Filed,0,90177.85,MSME_086391780
04,2025,3038344.33,546901.98,Filed,2,56381.41,MSME_086391780
05,2025,2788649.41,501956.89,Filed,0,71268.49,MSME_086391780
06,2025,2973388.07,535209.85,Filed,0,193314.06,MSME_086391780
07,2025,3095832.16,557249.79,Filed,0,210281.56,MSME_086391780
08,2025,3294936.76,593088.62,Filed,0,98563.22,MSME_086391780
09,2025,3206348.92,577142.81,Filed,0,207418.01,MSME_086391780
10,2025,3037342.37,546721.63,Filed,0,116871.99,MSME_086391780
11,2025,3039361.12,547085.0,Filed,0,142239.7,MSME_086391780
12,2025,3467198.01,624095.64,Filed,0,146945.81,MSME_086391780
01,2026,3203869.37,576696.49,Filed,18,152751.73,MSME_086391780
02,2026,3155719.69,568029.54,Filed,0,156637.33,MSME_086391780
03,2026,3441203.26,619416.59,Filed,0,231407.6,MSME_086391780
04,2026,3422613.04,616070.35,Late,41,242333.02,MSME_086391780
05,2026,3453953.03,621711.54,Filed,0,223709.65,MSME_086391780
06,2026,3307358.67,595324.56,Filed,0,162292.05,MSME_086391780
07,2024,3450544.39,621097.99,Filed,0,217979.87,MSME_677785212
08,2024,3115803.2,560844.58,Filed,0,219112.63,MSME_677785212
09,2024,3012001.58,542160.28,Filed,0,124742.08,MSME_677785212
10,2024,3460049.3,622808.87,Filed,0,175073.97,MSME_677785212
11,2024,3588548.51,645938.73,Filed,0,111211.19,MSME_677785212
12,2024,3598258.96,647686.61,Filed,0,211118.48,MSME_677785212
01,2025,3889742.66,700153.68,Filed,0,121503.1,MSME_677785212
02,2025,3758127.68,676462.98,Filed,0,157728.84,MSME_677785212
03,2025,3607910.98,649423.98,Filed,0,92205.89,MSME_677785212
04,2025,3837777.03,690799.87,Filed,0,69508.15,MSME_677785212
05,2025,4162375.99,749227.68,Filed,0,140881.23,MSME_677785212
06,2025,3944413.21,709994.38,Filed,0,109808.93,MSME_677785212
07,2025,3987358.83,717724.59,Filed,0,175036.78,MSME_677785212
08,2025,3851439.4,693259.09,Filed,0,144540.96,MSME_677785212
09,2025,3873222.13,697179.98,Filed,0,234153.54,MSME_677785212
10,2025,4093936.1,736908.5,Filed,0,294749.62,MSME_677785212
11,2025,3879541.92,698317.55,Filed,0,153996.85,MSME_677785212
12,2025,4243498.66,763829.76,Filed,0,191683.13,MSME_677785212
01,2026,4275750.18,769635.03,Filed,0,220554.5,MSME_677785212
02,2026,3860624.89,694912.48,Filed,0,181272.17,MSME_677785212
03,2026,3998390.59,719710.31,Late,37,236785.36,MSME_677785212
04,2026,4306038.68,775086.96,Filed,0,187848.99,MSME_677785212
05,2026,4231736.78,761712.62,Filed,0,183008.25,MSME_677785212
06,2026,4295742.68,773233.68,Filed,0,139982.49,MSME_677785212
07,2024,3980082.94,716414.93,Filed,0,178074.83,MSME_178086026
08,2024,3921575.68,705883.62,Filed,0,264150.13,MSME_178086026
09,2024,3819040.42,687427.28,Filed,0,138634.62,MSME_178086026
10,2024,3561981.04,641156.59,Filed,0,86453.1,MSME_178086026
11,2024,3688864.7,663995.65,Filed,0,77055.9,MSME_178086026
12,2024,3892554.91,700659.88,Filed,0,104551.7,MSME_178086026
01,2025,4028128.77,725063.18,Filed,0,177416.04,MSME_178086026
02,2025,3787926.01,681826.68,Filed,0,185958.56,MSME_178086026
03,2025,4130897.27,743561.51,Filed,0,263861.08,MSME_178086026
04,2025,4174230.75,751361.53,Filed,0,197508.28,MSME_178086026
05,2025,4010567.45,721902.14,Filed,0,197064.48,MSME_178086026
06,2025,3839864.05,691175.53,Filed,0,249909.16,MSME_178086026
07,2025,4204937.83,756888.81,Filed,0,224953.44,MSME_178086026
08,2025,4055073.47,729913.22,Filed,0,213468.37,MSME_178086026
09,2025,3838789.33,690982.08,Filed,0,145539.61,MSME_178086026
10,2025,4224609.3,760429.67,Filed,0,130696.07,MSME_178086026
11,2025,4222182.65,759992.88,Filed,0,273281.83,MSME_178086026
12,2025,4350804.86,783144.88,Filed,0,244968.05,MSME_178086026
01,2026,4225199.99,760536.0,Filed,0,94441.09,MSME_178086026
02,2026,4286514.6,771572.63,Filed,0,105157.59,MSME_178086026
03,2026,3963218.65,713379.36,Filed,0,238828.7,MSME_178086026
04,2026,4358368.35,784506.3,Filed,0,278374.97,MSME_178086026
05,2026,4696146.49,845306.37,Filed,25,195188.65,MSME_178086026
06,2026,4236442.97,762559.74,Filed,0,80004.88,MSME_178086026
07,2024,1262980.78,227336.54,Late,36,34661.61,MSME_602830083
08,2024,1214725.62,218650.61,Late,30,75472.14,MSME_602830083
09,2024,1088383.44,195909.02,Filed,0,44279.18,MSME_602830083
10,2024,1186084.57,213495.22,Filed,12,24062.13,MSME_602830083
11,2024,1116466.12,200963.9,Filed,0,31407.21,MSME_602830083
12,2024,1038431.13,186917.6,Late,35,62408.61,MSME_602830083
01,2025,937313.32,168716.4,Filed,0,20011.37,MSME_602830083
02,2025,1218807.89,219385.42,Filed,17,71174.66,MSME_602830083
03,2025,1004755.47,180855.98,Filed,6,31195.85,MSME_602830083
04,2025,1208665.45,217559.78,Filed,1,40251.21,MSME_602830083
05,2025,1120412.84,201674.31,Late,36,44358.54,MSME_602830083
