month,year,total_inflow_volume_inr,inflow_transaction_count,average_ticket_size_inr,total_outflow_volume_inr,outflow_transaction_count,unique_counterparties_in,failed_transaction_rate_pct,business_id
07,2024,2016760.2,538,3748.62,1043574.25,495,324,1.91,MSME_638807142
08,2024,1799007.66,165,10903.08,1208290.19,135,51,2.99,MSME_638807142
09,2024,1686080.92,642,2626.29,1063395.08,583,432,2.97,MSME_638807142
10,2024,1357710.38,803,1690.8,1012551.55,672,464,0.74,MSME_638807142
11,2024,1894156.9,233,8129.43,1410027.08,257,110,2.4,MSME_638807142
12,2024,1651096.42,191,8644.48,1057374.08,168,123,0.81,MSME_638807142
01,2025,1552113.17,110,14110.12,1219278.03,126,58,1.82,MSME_638807142
02,2025,1698096.97,950,1787.47,1208721.86,920,455,2.6,MSME_638807142
03,2025,1792130.9,344,5209.68,1382240.1,385,146,0.34,MSME_638807142
04,2025,1857782.27,140,13269.87,1433056.63,143,78,1.14,MSME_638807142
05,2025,1523639.44,554,2750.25,947323.4,637,386,1.63,MSME_638807142
06,2025,1800277.03,209,8613.77,1086995.77,249,70,0.77,MSME_638807142
07,2025,1846646.85,1534,1203.81,1363271.5,1738,810,0.37,MSME_638807142
08,2025,1876555.45,127,14776.03,1387910.61,125,46,2.52,MSME_638807142
09,2025,2032304.95,785,2588.92,1446464.36,924,436,1.11,MSME_638807142
10,2025,1797931.63,507,3546.22,1134228.95,463,203,1.48,MSME_638807142
11,2025,2053920.44,188,10925.11,1440630.24,162,113,2.93,MSME_638807142
12,2025,1626013.41,1183,1374.48,1244850.32,1404,373,0.51,MSME_638807142
01,2026,2088984.07,281,7434.11,1377553.12,241,192,2.49,MSME_638807142
02,2026,1757564.83,271,6485.48,1132862.01,320,176,0.66,MSME_638807142
03,2026,2492651.84,239,10429.51,1534756.5,211,118,0.23,MSME_638807142
04,2026,2183817.45,522,4183.56,1555019.76,596,320,1.35,MSME_638807142
05,2026,2182361.34,169,12913.38,1399605.1,143,109,2.52,MSME_638807142
06,2026,1717252.78,393,4369.6,1140933.52,330,163,0.33,MSME_638807142
07,2024,2432849.17,274,8879.01,1542914.24,297,127,1.11,MSME_183828071
08,2024,3390801.15,1910,1775.29,2376855.34,1821,806,2.29,MSME_183828071
09,2024,2900472.59,1467,1977.15,2033749.58,1227,672,2.35,MSME_183828071
10,2024,2593186.3,185,14017.22,2033163.13,162,63,1.08,MSME_183828071
11,2024,2783244.62,546,5097.52,2053718.15,551,269,1.61,MSME_183828071
12,2024,2394094.42,398,6015.31,1808817.81,334,123,2.22,MSME_183828071
01,2025,2301982.48,258,8922.41,1492188.8,300,90,0.62,MSME_183828071
02,2025,2886402.52,696,4147.13,2235900.89,739,349,2.67,MSME_183828071
03,2025,3383886.94,551,6141.36,1692942.02,512,344,2.33,MSME_183828071
04,2025,2920060.51,989,2952.54,1888984.69,797,512,0.49,MSME_183828071
05,2025,2885377.17,229,12599.9,1779462.1,254,105,1.68,MSME_183828071
